Entry_DateTime,Entry_Price,Type,Entry_Reason,StopLoss,Size,Signal_Score,TakeProfit,Exit_DateTime,Exit_Price,Exit_Reason,PnL,Countermove_Duration,Countermove_Volume,Countermove_PricePct
2024-12-10 10:08:00-05:00,23.825000762939453,SHORT,Trend alignment (30.0%): DOWN; Volume confirmation (15.0%); Price action (15.0%): BEARISH,24.244075963352827,2386,60.0,22.986850362112705,2024-12-10 10:09:00-05:00,23.76000022888184,Small price movement exceeded: 0.27% > 0.13%,155.09127426146614,1.0,2861,-0.272824898115949
2024-12-10 10:10:00-05:00,23.700000762939453,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH,24.119075963352827,2386,45.0,22.861850362112705,2024-12-10 10:11:00-05:00,23.71500015258789,Small volume exceeded: 15856 > 10636,-35.788543701171875,1.0,15856,0.06328856188010165
2024-12-10 10:21:00-05:00,23.38999938964844,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH,23.809074590061815,2386,45.0,22.551848988821693,2024-12-10 10:22:00-05:00,23.32999992370605,Small price movement exceeded: 0.26% > 0.13%,143.15872573854233,1.0,20348,-0.2565176037111976
2024-12-12 09:59:00-05:00,25.46380043029785,SHORT,Trend alignment (30.0%): DOWN; Volume confirmation (15.0%); Price action (15.0%): BEARISH,26.216588100584183,1328,60.0,23.95822508972519,2024-12-12 10:00:00-05:00,25.250200271606445,Small price movement exceeded: 0.84% > 0.13%,283.6610107421875,1.0,22086,-0.8388384886855154
2024-12-12 10:04:00-05:00,25.30660057067871,LONG,Trend alignment (30.0%): UP; Price action (15.0%): BULLISH,26.059388240965042,1328,45.0,26.812175911251373,2024-12-12 10:05:00-05:00,25.200000762939453,Small price movement exceeded: 0.42% > 0.11%,-141.56454467773438,1.0,11173,-0.42123321716615236
2024-12-12 10:06:00-05:00,25.299999237060547,LONG,Trend alignment (30.0%): UP; Price action (15.0%): BULLISH,26.052786907346878,1328,45.0,26.80557457763321,2024-12-12 10:07:00-05:00,25.34000015258789,Small price movement exceeded: 0.16% > 0.11%,53.1212158203125,1.0,13834,0.15810639025138254
2024-12-13 10:05:00-05:00,23.729999542236328,SHORT,Trend alignment (30.0%): DOWN; Volume confirmation (15.0%); Price action (15.0%): BEARISH,24.32908914596603,1669,60.0,22.531820334776924,2024-12-13 10:06:00-05:00,23.81999969482422,Small price movement exceeded: 0.38% > 0.13%,-150.21025466918945,1.0,8973,0.3792674012812432
2024-12-13 10:07:00-05:00,23.81999969482422,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BULLISH,24.41908929855392,1669,45.0,22.621820487364815,2024-12-13 10:09:00-05:00,23.8700008392334,Small duration exceeded: 2.0 > 1.0 min,-83.4519100189209,2.0,16648,0.2099124477320808
2024-12-13 10:14:00-05:00,23.85709953308105,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH; Reversal signal (30.0%): BEARISH,24.456189136810753,1669,75.0,22.658920325621647,2024-12-13 10:15:00-05:00,23.75,Small price movement exceeded: 0.45% > 0.13%,178.74912071227433,1.0,7444,-0.44892101377429955
2024-12-13 10:35:00-05:00,24.07900047302246,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH,24.678090076752163,1669,45.0,22.880821265563057,2024-12-13 10:36:00-05:00,24.25,Small price movement exceeded: 0.71% > 0.13%,-285.3982105255127,1.0,13634,0.7101604037473351
2024-12-16 09:59:00-05:00,25.229999542236328,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH,25.48187458198796,3970,45.0,24.726249462733065,2024-12-16 10:01:00-05:00,25.450000762939453,Small duration exceeded: 2.0 > 1.0 min,-873.4048461914062,2.0,12491,0.8719826583224132
2024-12-16 10:07:00-05:00,25.32999992370605,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH,25.581874963457683,3970,45.0,24.82624984420279,2024-12-16 10:08:00-05:00,25.295000076293945,Small price movement exceeded: 0.14% > 0.13%,138.94939422606012,1.0,11622,-0.13817547381573372
2024-12-16 10:16:00-05:00,25.13999938964844,LONG,Trend alignment (30.0%): UP; Price action (15.0%): BULLISH,25.391874429400072,3970,45.0,25.643749469151704,2024-12-16 10:17:00-05:00,25.250099182128903,Small price movement exceeded: 0.44% > 0.11%,437.09617614743274,1.0,15591,0.43794667921032626
2024-12-16 10:18:00-05:00,25.303699493408203,LONG,Trend alignment (30.0%): UP; Price action (15.0%): BULLISH,25.555574533159835,3970,45.0,25.807449572911466,2024-12-16 10:19:00-05:00,25.420000076293945,Small price movement exceeded: 0.46% > 0.11%,461.7133140563965,1.0,23209,0.4596188905738441
2024-12-16 10:21:00-05:00,25.309999465942383,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH,25.561874505694014,3970,45.0,24.80624938643912,2024-12-16 10:22:00-05:00,25.334999084472656,Stop loss triggered at 25.33,-99.24848556518555,1.0,6943,0.09877368256729281
2024-12-17 09:59:00-05:00,25.34499931335449,SHORT,Trend alignment (30.0%): DOWN; Volume confirmation (25.0%); Price action (15.0%): BEARISH; Reversal signal (30.0%): BEARISH,25.488543243384253,6966,100.0,25.05791145329496,2024-12-17 10:00:00-05:00,25.364999771118164,Stop loss triggered at 25.36,-139.32318878176304,1.0,5439,0.07891283608414627
2024-12-17 10:06:00-05:00,25.549999237060547,LONG,Trend alignment (30.0%): UP; Price action (15.0%): BULLISH,25.69354316709031,6966,45.0,25.837087097120076,2024-12-17 10:07:00-05:00,25.63999938964844,Small price movement exceeded: 0.35% > 0.11%,626.9410629272709,1.0,7667,0.3522510969681283
2024-12-17 10:19:00-05:00,24.86009979248047,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH,25.003643722510233,6966,45.0,24.57301193242094,2024-12-17 10:20:00-05:00,24.899999618530277,Small price movement exceeded: 0.16% > 0.13%,-277.9421882629642,1.0,5491,0.16049744925753234
2024-12-17 10:23:00-05:00,24.96999931335449,LONG,Trend alignment (30.0%): UP; Price action (15.0%): BEARISH,25.113543243384253,6966,45.0,25.257087173414018,2024-12-17 10:24:00-05:00,24.899999618530277,Small price movement exceeded: 0.28% > 0.11%,-487.6178741454583,1.0,7157,-0.28033518922355083
2024-12-19 10:10:00-05:00,24.709999084472656,LONG,Trend alignment (30.0%): UP; Volume confirmation (25.0%); Price action (15.0%): BULLISH,25.184398447820445,2107,70.0,25.658797811168235,2024-12-19 10:11:00-05:00,24.76000022888184,Small price movement exceeded: 0.20% > 0.11%,105.35241127014909,1.0,13209,0.20235186670080904
2024-12-19 10:15:00-05:00,24.5049991607666,SHORT,Trend alignment (30.0%): DOWN; Volume confirmation (25.0%); Price action (15.0%): BEARISH,24.97939852411439,2107,70.0,23.556200434071023,2024-12-19 10:16:00-05:00,24.415000915527344,Small price movement exceeded: 0.37% > 0.13%,189.6263027191162,1.0,9208,-0.36726483705964896
2024-12-20 10:07:00-05:00,23.114999771118164,SHORT,Trend alignment (30.0%): DOWN; Volume confirmation (15.0%); Price action (15.0%): BEARISH,23.589399134465953,2107,60.0,22.166201044422586,2024-12-20 10:08:00-05:00,23.030000686645508,Small price movement exceeded: 0.37% > 0.13%,179.09307098388672,1.0,10613,-0.3677226273601841
2024-12-20 10:21:00-05:00,23.280000686645508,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH,23.754400049993297,2107,45.0,22.33120195994993,2024-12-20 10:22:00-05:00,23.23500061035156,Small price movement exceeded: 0.19% > 0.13%,94.81516075135026,1.0,10314,-0.19329929109393457
